,disease_size,mean_COMP,mean_DNS,pvalue_COMP,pvalue_DNS
count,2297.0,2297.0,2297.0,2297.0,2297.0
mean,45.18763604701785,0.01613400703652988,0.0002510134331703477,0.07733565520243796,0.222929908576404
std,74.2148981096214,0.009993244885266523,0.0008819343573704553,0.15463722609443276,0.20628282836118533
min,2.0,0.0008215672793367034,0.0,0.0,0.0
25%,14.0,0.007613258582527033,3.426503768233768e-05,0.0,0.06
50%,22.0,0.014729218749528206,8.28021165951925e-05,0.01,0.17
75%,48.0,0.022903857797090615,0.00019192429062134752,0.08,0.32
max,1410.0,0.08218804286686594,0.018196908940184928,1.0,0.98
