,disease_size,mean_COMP,mean_DNS,pvalue_COMP,pvalue_DNS
count,2297.0,2297.0,2297.0,2297.0,2297.0
mean,45.18763604701785,0.01613400703652988,0.0722950939662482,0.07803221593382674,0.043848498040922945
std,74.2148981096214,0.009993244885266523,0.06065797234855249,0.15502262622315519,0.12885683936484238
min,2.0,0.0008215672793367034,0.0,0.0,0.0
25%,14.0,0.007613258582527033,0.03169398907103825,0.0,0.0
50%,22.0,0.014729218749528206,0.05628415300546448,0.01,0.0
75%,48.0,0.022903857797090615,0.09243697478991597,0.08,0.01
max,1410.0,0.08218804286686594,0.5359477124183006,0.99,0.98
