Node ID,Protein ID,Protein Name,Disease Node,Degree,Comp_rnorm_cnorm
2048,2521,FUS,0,354,
6147,7514,XPO1,0,1256,
16388,23450,SF3B3,0,489,
6,10,NAT2,0,24,
6153,7520,XRCC5,0,233,
8202,10174,SORBS3,0,156,
2059,2534,FYN,0,410,
2060,2535,FZD2,0,12,
4110,5071,PRKN,0,426,
6160,7529,YWHAB,0,398,
6162,7531,YWHAE,0,426,
6163,7532,YWHAG,0,542,
6164,7533,YWHAH,0,343,
6165,7534,YWHAZ,0,662,
6167,7536,SF1,0,265,
4100,5058,PAK1,0,161,
10286,24144,TFIP11,0,382,
4145,5111,PCNA,0,390,
51,58,ACTA1,0,200,
53,60,ACTB,0,466,
8254,10236,HNRNPR,0,273,
8259,10241,CALCOCO2,0,202,
16454,23522,KAT6B,1,66,2364.0
8265,10248,POP7,0,31,
1378,1649,DDIT3,0,85,
2130,2623,GATA1,1,109,4084.0
14009,85302,FBF1,0,237,
5476,6721,SREBF2,0,113,
8287,10273,STUB1,0,258,
6843,8570,KHSRP,0,99,
3430,4175,MCM6,0,96,
6251,7681,MKRN3,1,160,6306.0
7528,9404,LPXN,0,35,
20,25,ABL1,0,389,
6267,7704,ZBTB16,0,166,
12412,2249,FGF4,0,5,
6269,7706,TRIM25,0,91,
2069,2547,XRCC6,0,285,
129,154,ADRB2,0,276,
8329,10320,IKZF1,0,126,
141,166,AES,0,301,
6293,7750,ZMYM2,0,82,
159,191,AHCY,0,85,
4256,5245,PHB,0,356,
8372,10376,TUBA1B,0,125,
18613,53615,MBD3,0,144,
8375,10381,TUBB3,0,121,
8377,10383,TUBB4B,0,154,
187,226,ALDOA,0,141,
10429,79595,SAP130,0,51,
2242,2770,GNAI1,0,107,
18332,26270,FBXO6,0,622,
12487,115992,RNF166,0,49,
2249,2778,GNAS,0,98,
4300,5295,PIK3R1,0,307,
4301,5296,PIK3R2,0,144,
16592,56455,,0,67,
4305,5300,PIN1,0,309,
14546,3481,IGF2,0,23,
4311,5307,PITX1,0,88,
8409,10419,PRMT5,0,360,
4319,5315,PKM,0,194,
2272,2801,GOLGA2,0,455,
2278,5929,RBBP5,0,114,
2280,2810,SFN,0,290,
6378,7874,USP7,0,313,
237,292,SLC25A5,0,335,
238,293,SLC25A6,0,207,
5501,6749,SSRP1,0,284,
3493,4255,MGMT,0,75,
16626,23743,BHMT2,0,10,
4339,5335,PLCG1,0,279,
1065,1280,COL2A1,1,45,54.0
10489,79666,PLEKHF2,0,127,
250,310,ANXA7,0,142,
19842,29117,BRD7,0,84,
4371,5371,PML,0,237,
2327,2869,GRK5,0,183,
8477,10492,SYNCRIP,0,459,
287,351,APP,0,2132,
2336,2879,GPX4,1,53,10695.0
2338,2885,GRB2,0,1081,
6436,7979,SEM1,0,136,
2341,2888,GRB14,0,25,
301,367,AR,0,301,
303,369,ARAF,0,104,
8503,10524,KAT5,0,265,
313,382,ARF6,0,143,
6458,8021,NUP214,0,84,
5855,7157,TP53,0,1001,
12619,17913,,0,134,
334,405,ARNT,0,60,
337,408,ARRB1,0,314,
338,409,ARRB2,0,366,
14675,53918,PELO,0,40,
6489,8074,FGF23,0,4,
6493,8079,MLF2,0,41,
2406,2957,GTF2A1,0,73,
5180,6386,SDCBP,0,332,
6506,8099,CDK2AP1,0,65,
4459,5494,PPM1A,0,55,
4463,5499,PPP1CA,0,356,
4465,5501,PPP1CC,0,308,
2418,2969,GTF2I,0,149,
19107,60370,AVPI1,0,34,
14716,2254,FGF9,0,6,
7573,9463,PICK1,0,404,
385,467,ATF3,0,63,
6531,8148,TAF15,0,99,
10646,440295,GOLGA6L9,0,212,
2458,3014,H2AFX,0,307,
21232,7855,FZD5,0,15,
8610,10641,NPRL2,0,15,
2468,3028,HSD17B10,0,122,
