,disease_size,mean_COMP,mean_DNS,pvalue_COMP,pvalue_DNS
count,2297.0,2297.0,2297.0,2297.0,2297.0
mean,45.18763604701785,1.0664726243332332,0.0722950939662482,0.12472355245973009,0.04290814105354811
std,74.2148981096214,1.008392823851792,0.06065797234855249,0.16996701034668424,0.12709425707699076
min,2.0,0.044897435570166414,0.0,0.0,0.0
25%,14.0,0.42417510960822447,0.03169398907103825,0.01,0.0
50%,22.0,0.7770214230855649,0.05628415300546448,0.05,0.0
75%,48.0,1.3003023745702462,0.09243697478991597,0.17,0.01
max,1410.0,8.588878968223533,0.5359477124183006,0.99,0.97
