Node ID,Protein ID,Protein Name,Disease Node,Degree,Comp_rnorm_cnorm
41,47,ACLY,0,74,
79,100,ADA,0,32,
85,107,ADCY1,0,26,
86,108,ADCY2,1,27,60.0
88,111,ADCY5,0,42,
117,142,PARP1,0,286,
132,157,GRK3,1,14,2961.0
135,160,AP2A1,0,121,
136,161,AP2A2,0,64,
137,162,AP1B1,0,93,
168,207,AKT1,0,378,
174,213,ALB,0,200,
178,217,ALDH2,0,80,
233,288,ANK3,1,30,8402.0
237,292,SLC25A5,0,335,
238,293,SLC25A6,0,207,
249,309,ANXA6,0,107,
263,324,APC,0,301,
287,351,APP,0,2132,
289,354,KLK3,0,25,
291,356,FASLG,0,108,
301,367,AR,0,301,
330,401,PHOX2A,0,14,
337,408,ARRB1,0,314,
395,478,ATP1A3,0,78,
398,481,ATP1B1,0,78,
421,509,ATP5F1C,0,194,
495,595,CCND1,0,112,
502,602,BCL3,0,52,
518,627,BDNF,1,22,1767.0
526,636,BICD1,0,17,
561,672,BRCA1,0,609,
617,738,VPS51,0,28,
637,5481,PPID,0,53,
644,775,CACNA1C,1,25,17540.0
653,784,CACNB3,1,11,2455.0
669,801,CALM1,0,524,
672,805,CALM2,0,174,
673,808,CALM3,0,132,
676,811,CALR,0,158,
685,821,CANX,0,208,
687,823,CAPN1,0,110,
693,829,CAPZA1,0,122,
729,867,CBL,0,276,
735,875,CBS,0,81,
739,100533105,C8orf44-SGK3,0,4,
752,898,CCNE1,0,83,
827,983,CDK1,0,415,
832,988,CDC5L,0,328,
838,994,CDC25B,1,46,11147.0
840,996,CDC27,0,129,
844,1000,CDH2,0,78,
861,1017,CDK2,0,892,
864,1020,CDK5,0,163,
891,1050,CEBPA,0,132,
892,1051,CEBPB,0,123,
900,1059,CENPB,0,78,
920,132158,GLYCTK,0,60,
936,1109,AKR1C4,1,7,12286.0
1022,1213,CLTC,0,355,
1064,229589,,0,2,
1096,1312,COMT,1,39,8612.0
1098,1314,COPA,0,209,
1136,1363,CPE,0,25,
1158,1385,CREB1,0,198,
1160,1387,CREBBP,0,400,
1163,1390,CREM,0,49,
1171,1399,CRKL,0,130,
1172,1400,CRMP1,0,110,
1176,1406,CRX,0,107,
1197,1432,MAPK14,0,329,
1221,1457,CSNK2A1,0,615,
1223,1459,CSNK2A2,0,341,
1224,1460,CSNK2B,0,305,
1226,1463,NCAN,1,7,6235.0
1237,1474,CST6,0,18,
1249,1487,CTBP1,0,171,
1256,1495,CTNNA1,0,90,
1259,1499,CTNNB1,0,395,
1260,1500,CTNND1,0,62,
1290,1537,CYC1,0,146,
1350,1616,DAXX,0,218,
1359,1627,DBN1,0,234,
1364,1633,DCK,0,33,
1369,1639,DCTN1,0,254,
1379,1650,DDOST,0,176,
1384,1655,DDX5,0,449,
1388,1660,DHX9,0,529,
1392,1665,DHX15,0,406,
1439,1739,DLG1,0,96,
1456,1759,DNM1,0,101,
1475,1781,DYNC1I2,0,64,
1479,1786,DNMT1,0,109,
1487,1794,DOCK2,0,50,
1501,1808,DPYSL2,0,62,
1502,1809,DPYSL3,0,33,
1509,1816,DRD5,1,6,9949.0
1518,1827,RCAN1,0,35,
1552,1869,E2F1,0,142,
1573,1892,ECHS1,0,98,
1591,1915,EEF1A1,0,613,
1604,1937,EEF1G,0,173,
1620,1956,EGFR,0,926,
1638,1975,EIF4B,0,133,
1653,1994,ELAVL1,0,1866,
1667,2010,EMD,0,225,
1668,2011,MARK2,0,103,
1687,2033,EP300,0,547,
1691,2037,EPB41L2,0,41,
1708,2054,STX2,0,66,
1712,2058,EPRS,0,247,
1714,2060,EPS15,0,161,
1736,2091,FBL,0,387,
1741,2099,ESR1,0,789,
1751,2113,ETS1,0,127,
1765,2130,EWSR1,0,698,
1822,2192,FBLN1,0,75,
1860,2237,FEN1,0,60,
1901,2288,FKBP4,0,88,
1902,2289,FKBP5,0,103,
1919,2308,FOXO1,0,76,
1927,2316,FLNA,0,359,
1940,2332,FMR1,0,163,
1943,2335,FN1,0,792,
2048,2521,FUS,0,354,
2059,2534,FYN,0,410,
2069,2547,XRCC6,0,285,
2100,2580,GAK,0,86,
2115,2597,GAPDH,0,304,
2220,2735,GLI1,0,66,
2239,2767,GNA11,0,50,
2242,2770,GNAI1,0,107,
2248,2776,GNAQ,0,89,
2249,2778,GNAS,0,98,
2252,2781,GNAZ,0,49,
2253,2782,GNB1,0,105,
2254,2783,GNB2,0,119,
2272,2801,GOLGA2,0,455,
2280,2810,SFN,0,290,
2338,2885,GRB2,0,1081,
2351,2898,GRIK2,1,25,2012.0
2361,2908,NR3C1,1,242,1574.0
2362,2909,ARHGAP35,0,18,
2369,2917,GRM7,1,16,15560.0
2381,2931,GSK3A,1,95,14323.0
2382,2932,GSK3B,1,362,20.0
2422,2975,GTF3C1,0,189,
2441,2997,GYS1,0,68,
2444,3000,GUCY2D,0,32,
2453,3009,HIST1H1B,0,61,
2500,3065,HDAC1,0,611,
2501,3066,HDAC2,0,387,
2567,3146,HMGB1,0,114,
2569,3148,HMGB2,0,61,
2582,3164,NR4A1,0,134,
2594,3178,HNRNPA1,0,701,
2598,3183,HNRNPC,0,386,
2599,3184,HNRNPD,0,342,
2604,3190,HNRNPK,0,367,
2605,3191,HNRNPL,0,222,
2606,3192,HNRNPU,0,691,
2668,3265,HRAS,0,113,
2695,3295,HSD17B4,0,72,
2697,3297,HSF1,0,116,
2703,3303,HSPA1A,0,353,
2708,3308,HSPA4,0,366,
2709,3309,HSPA5,0,517,
2714,3315,HSPB1,0,435,
2718,3320,HSP90AA1,0,900,
2722,3326,HSP90AB1,0,543,
2724,3329,HSPD1,0,379,
2743,3356,HTR2A,1,22,10020.0
2782,3416,IDE,0,48,
2831,3480,IGF1R,0,93,
2861,3516,RBPJ,0,149,
2936,3608,ILF2,0,451,
2937,3609,ILF3,0,463,
2939,3612,IMPA1,0,44,
2956,3630,INS,1,35,2128.0
2962,3636,INPPL1,0,122,
2967,3643,INSR,0,128,
2989,3667,IRS1,0,122,
3017,3697,ITIH1,1,5,15440.0
3022,3702,ITK,1,46,5021.0
3030,3710,ITPR3,0,46,
3043,3725,JUN,0,408,
3046,3728,JUP,0,147,
3108,3799,KIF5B,0,130,
3137,3832,KIF11,0,133,
3140,3836,KPNA1,0,131,
3142,3838,KPNA2,0,225,
3178,3881,KRT31,0,375,
3191,3895,KTN1,0,54,
3193,3897,L1CAM,0,35,
3225,3932,LCK,0,256,
3283,4000,LMNA,0,258,
3336,4067,LYN,0,269,
3337,4068,SH2D1A,0,34,
3344,4077,NBR1,0,43,
3345,6141,RPL18,0,335,
3353,4087,SMAD2,0,394,
3354,4088,SMAD3,0,417,
3355,4089,SMAD4,0,302,
3372,4110,MAGEA11,0,130,
3382,200728,TMEM17,0,401,
3392,4130,MAP1A,0,36,
3393,4131,MAP1B,0,82,
3395,4134,MAP4,0,68,
3397,4137,MAPT,0,135,
3419,4160,MC4R,0,20,
3425,4170,MCL1,0,75,
3426,4171,MCM2,0,918,
3446,4193,MDM2,0,470,
3461,4214,MAP3K1,0,242,
3470,4224,MEP1A,0,23,
3478,4236,MFAP1,0,222,
3521,4296,MAP3K11,0,44,
3522,4297,KMT2A,0,113,
3537,4316,MMP7,0,37,
3561,4343,MOV10,0,1178,
3594,6197,RPS6KA3,0,89,
3634,4488,MSX2,0,58,
3662,4522,MTHFD1,0,96,
3664,4524,MTHFR,1,16,14119.0
3682,4548,MTR,0,34,
3697,55304,SPTLC3,1,4,4427.0
3729,4609,MYC,0,583,
3754,4638,MYLK,0,62,
