,disease_size,loo_median_COMP,loo_median_DNS,pvalue_COMP,pvalue_DNS
count,2297.0,2297.0,2297.0,2297.0,2297.0
mean,45.18763604701785,0.05621131049477351,0.009299314673686877,0.07198084457988681,0.0018632999564649544
std,74.2148981096214,0.07724081821503873,0.02287857232070415,0.1700216310755985,0.01209761898468355
min,2.0,0.0,0.0,0.0,0.0
25%,14.0,0.016307000211091195,0.0,0.0,0.0
50%,22.0,0.0348778052727553,0.0,0.0,0.0
75%,48.0,0.06631331585049718,0.010101010101010102,0.04,0.0
max,1410.0,1.0983617838188593,0.23076923076923078,0.97,0.27
