,disease_size,mean_CNS,mean_DNS,zscore_CNS,zscore_DNS
count,2297.0,2297.0,2297.0,2297.0,2297.0
mean,45.18763604701785,0.01613400703652988,0.0002510134331703477,4.250166296540003,2.290094070095779
std,74.2148981096214,0.009993244885266523,0.0008819343573704553,4.765231761646358,51.307712112952125
min,2.0,0.0008215672793367034,0.0,-1.5726951759579821,-1.0494575326446227
25%,14.0,0.007613258582527033,3.426503768233768e-05,1.4846017866869725,-0.16757725609398016
50%,22.0,0.014729218749528206,8.28021165951925e-05,2.9570079287702753,0.24119379447662012
75%,48.0,0.022903857797090615,0.00019192429062134752,5.4313565572642135,1.3583546430927294
max,1410.0,0.08218804286686594,0.018196908940184928,52.535300588635295,2411.7135776663663
