comps,comp_ranking,top_comp_share,top_0.2comp_share,comp_GINI
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,479,0.11226531441049852,0.55019032596953765,0.56174265957555913
0.0 0.01 0.06 0.0 0.04 0.02 0.0 0.0 0.01 0.06 0.1 0.16 0.07 0.0 0.03 0.08 0.02 0.0 0.0 0.01 0.03 0.03 0.07 0.02 0.02 0.01 0.0 0.01 0.03 0.03 0.05 0.05 0.0 0.04 0.01 0.0 0.07 0.03 0.0 0.0 0.1 0.01 0.04 0.06 0.01,4039,0.12101924888346353,0.62824178640514849,0.64575890392045199
0.0 0.02 0.03 0.0 0.01 0.0 0.0 0.01 0.0 0.07 0.0 0.05 0.04 0.0 0.01 0.03 0.01 0.0 0.0 0.0 0.0 0.02 0.02 0.04 0.0 0.0 0.0 0.01 0.02 0.0 0.02 0.03 0.0 0.01 0.0 0.02 0.03 0.0 0.0 0.0 0.02 0.0 0.01 0.02 0.02,1033,0.15328160912788319,0.64369779627144552,0.63975726279026757
0.0 0.06 0.02 0.0 0.01 0.0 0.04 0.0 0.01 0.11 0.01 0.16 0.01 0.0 0.02 0.02 0.0 0.0 0.0 0.0 0.02 0.02 0.02 0.04 0.0 0.01 0.0 0.01 0.04 0.03 0.02 0.05 0.0 0.01 0.0 0.0 0.02 0.0 0.01 0.0 0.05 0.02 0.05 0.04 0.12,9899,0.42594694649492132,0.82747057451713324,0.82199617403851455
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03 0.0 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.02 0.0 0.0 0.0 0.02 0.0 0.0 0.0 0.0 0.0 0.11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,2654,0.16115740618216523,0.62095542304589313,0.63359448158184095
0.0 0.04 0.01 0.02 0.0 0.02 0.0 0.0 0.0 0.03 0.0 0.11 0.03 0.0 0.01 0.02 0.01 0.0 0.0 0.0 0.01 0.02 0.01 0.03 0.01 0.01 0.0 0.01 0.0 0.01 0.03 0.02 0.0 0.01 0.01 0.0 0.04 0.01 0.0 0.0 0.06 0.0 0.03 0.06 0.04,66,0.45469733679172508,0.80058486390416406,0.78000774514487503
0.0 0.02 0.0 0.0 0.0 0.01 0.0 0.0 0.02 0.07 0.03 1.01 0.1 0.0 0.06 0.02 0.0 0.01 0.01 0.03 0.12 0.03 0.04 0.0 0.02 0.01 0.03 0.01 0.03 0.0 0.03 0.05 0.0 0.02 0.0 0.01 0.06 0.17 0.01 0.0 0.08 0.01 0.0 0.11 0.0,4899,0.14538656153848581,0.77129104046149888,0.74181458648173393
0.0 0.0 0.0 0.07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05 0.0 0.0 0.0 0.0 0.0 0.0 0.05 0.02 0.0 0.0 0.0 0.0 0.02 0.02 0.02 0.0 0.02 0.0 0.01 0.0 0.0 0.03 0.0 0.0 0.0 0.01 0.0 0.05 0.01 0.06,10881,0.18223873825707768,0.95784588838336826,0.84400486225425053
0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.04 0.0 0.04 0.0 0.0 0.01 0.0 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.04 0.0 0.0 0.0 0.0 0.01 0.01 0.0 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03 0.0 0.0 0.0 0.0,2139,0.13049906510772658,0.64151630588675856,0.65164205825177579
0.0 0.01 0.0 0.01 0.0 0.0 0.03 0.0 0.0 0.01 0.02 0.1 0.1 0.0 0.02 0.02 0.0 0.0 0.0 0.01 0.1 0.0 0.01 0.02 0.02 0.0 0.0 0.03 0.02 0.01 0.04 0.03 0.0 0.01 0.0 0.01 0.02 0.02 0.0 0.0 0.05 0.02 0.0 0.02 0.0,212,0.12689263047157201,0.58375704814165219,0.5812497853322135
