,disease_mean_Complementarity,disease_mean_Direct Neighbor Norm.,disease_zscore_Complementarity,disease_zscore_Direct Neighbor Norm.
count,2297.0,2297.0,2297.0,2297.0
mean,0.016134007036529875,0.0024737887885211804,4.232421975828843,3.2978425924091437
std,0.009993244885266523,0.002878189436197249,4.693645545394156,3.3802304662480562
min,0.0008215672793367034,0.0,-1.6514709448964677,-1.3072308064032994
25%,0.007613258582527033,0.0008523686923423509,1.5027374795888508,0.9102739339384798
50%,0.014729218749528206,0.001588998152244316,2.9323250131725414,2.371325239301187
75%,0.022903857797090615,0.003038411621008212,5.384110304130329,4.512424165264542
max,0.08218804286686594,0.028168511578665574,52.79316542891374,21.710341335164085
