Node ID,Protein ID,Protein Name,Disease Node,Degree
3456,4208,MEF2C,0,90
3515,4289,MKLN1,0,34
3522,4297,KMT2A,0,113
3561,4343,MOV10,0,1178
3599,4430,MYO1B,0,60
3601,4436,MSH2,0,132
3602,4437,MSH3,0,34
3628,4478,MSN,0,148
3681,4547,MTTP,1,6
3729,4609,MYC,1,583
3735,4616,GADD45B,0,16
3745,4627,MYH9,0,343
3784,4673,NAP1L1,0,237
3802,4691,NCL,0,438
3830,4719,NDUFS1,0,114
3854,4747,NEFL,0,61
3880,4782,NFIC,0,42
3884,4790,NFKB1,0,277
3973,4899,NRF1,0,45
3978,4904,YBX1,0,412
3986,4914,NTRK1,0,1965
4008,4942,OAT,0,54
4033,4976,OPA1,0,37
4081,5034,P4HB,0,148
4084,5037,PEBP1,0,67
4095,5052,PRDX1,0,154
4097,5054,SERPINE1,1,39
4102,5062,PAK2,0,154
4216,5196,PF4,0,13
4223,5204,PFDN5,0,185
4259,5250,SLC25A3,0,311
4331,5327,PLAT,0,37
4332,5328,PLAU,0,34
4344,5340,PLG,0,68
4371,5371,PML,0,237
4405,5426,POLE,0,59
4409,5430,POLR2A,0,345
4425,5447,POR,0,38
4426,5449,POU1F1,0,24
4440,5465,PPARA,1,83
4441,5467,PPARD,1,54
4442,5468,PPARG,0,167
4443,5469,MED1,0,124
4463,5499,PPP1CA,0,356
4524,5566,PRKACA,0,420
4525,5567,PRKACB,0,217
4526,5568,PRKACG,0,158
4547,5591,PRKDC,0,312
4550,5594,MAPK1,0,402
4551,5595,MAPK3,0,349
4552,5596,MAPK4,0,60
4553,5597,MAPK6,0,282
4554,5598,MAPK7,0,111
4555,5599,MAPK8,0,256
4556,5600,MAPK11,0,93
4557,5601,MAPK9,0,204
4558,5602,MAPK10,0,107
4559,5603,MAPK13,0,153
4604,5657,PRTN3,0,17
4622,5682,PSMA1,0,275
4624,5684,PSMA3,0,301
4626,5686,PSMA5,0,143
4628,5688,PSMA7,0,134
4629,5689,PSMB1,0,181
4641,5701,PSMC2,0,162
4642,5702,PSMC3,0,190
4644,5705,PSMC5,0,202
4647,5708,PSMD2,0,250
4687,5757,PTMA,1,87
4747,5832,ALDH18A1,0,60
4755,22820,COPG1,0,73
4769,5868,RAB5A,0,122
4786,5885,RAD21,0,268
4795,5894,RAF1,0,209
4803,5903,RANBP2,0,182
4812,5914,RARA,0,145
4822,5925,RB1,0,257
4828,5931,RBBP7,0,230
4854,5965,RECQL,0,42
4855,5966,REL,0,389
