Node ID,Protein ID,Protein Name,Disease Node,Degree,Comp_rnorm_cnorm
2048,2521,FUS,0,354,
6147,7514,XPO1,0,1256,
16388,23450,SF3B3,0,489,
16389,23451,SF3B1,0,446,
4780,5879,RAC1,0,269,
8202,10174,SORBS3,0,156,
2059,2534,FYN,0,410,
4110,5071,PRKN,0,426,
6160,7529,YWHAB,0,398,
6162,7531,YWHAE,0,426,
6163,7532,YWHAG,0,542,
8212,10189,ALYREF,0,252,
2069,2547,XRCC6,0,285,
20505,653361,NCF1,0,49,
8218,10197,PSME3,0,195,
2075,2554,GABRA1,0,14,
38,43,ACHE,1,18,7291.0
2087,2566,GABRG2,1,19,18687.0
2090,2569,GABRR1,0,22,
4139,5104,SERPINA5,1,27,2387.0
10286,24144,TFIP11,0,382,
13661,84717,HDGFL2,0,36,
51,58,ACTA1,0,200,
53,60,ACTB,0,466,
3957,4881,NPR1,0,37,
16444,23512,SUZ12,0,338,
8254,10236,HNRNPR,0,273,
16449,23517,MTREX,0,252,
67,87,ACTN1,0,164,
68,88,ACTN2,0,105,
8886,10992,SF3B2,0,370,
4169,5142,PDE4B,1,35,10354.0
14410,53371,NUP54,0,63,
8267,10250,SRRM1,0,277,
18508,26575,RGS17,1,43,8895.0
4173,5146,PDE6C,1,19,17459.0
79,100,ADA,0,32,
6228,7629,ZNF76,0,71,
2133,2626,GATA4,0,36,
86,108,ADCY2,0,27,
87,109,ADCY3,0,33,
88,111,ADCY5,0,42,
89,112,ADCY6,0,33,
90,113,ADCY7,0,28,
91,114,ADCY8,0,28,
92,115,ADCY9,0,33,
8287,10273,STUB1,0,258,
4795,5894,RAF1,0,209,
4198,5173,PDYN,1,10,7205.0
1910,2298,FOXD4,0,17,
8303,10291,SF3A1,0,291,
117,142,PARP1,0,286,
20,25,ABL1,0,389,
2173,2672,GFI1,0,17,
6165,7534,YWHAZ,0,662,
128,153,ADRB1,0,21,
129,154,ADRB2,0,276,
4227,5208,PFKFB2,0,36,
137,162,AP1B1,0,93,
141,166,AES,0,301,
4253,5241,PGR,0,81,
18594,26747,NUFIP1,0,97,
20647,63876,PKNOX2,0,32,
168,207,AKT1,1,378,13063.0
169,208,AKT2,0,129,
2418,2969,GTF2I,0,149,
174,213,ALB,0,200,
1736,2091,FBL,0,387,
6322,7791,ZYX,0,97,
8372,10376,TUBA1B,0,125,
18613,53615,MBD3,0,144,
6327,7799,PRDM2,1,15,14383.0
8376,10382,TUBB4A,0,103,
2241,2769,GNA15,0,27,
2242,2770,GNAI1,0,107,
2243,2771,GNAI2,0,209,
2245,2773,GNAI3,0,114,
8391,10399,RACK1,0,286,
2248,2776,GNAQ,0,89,
2252,2781,GNAZ,0,49,
4305,5300,PIN1,0,309,
6359,7846,TUBA1A,0,399,
8408,1815,DRD4,1,13,4093.0
8409,10419,PRMT5,0,360,
221,196883,ADCY4,0,28,
4319,5315,PKM,0,194,
8424,10435,CDC42EP2,0,12,
6378,7874,USP7,0,313,
4331,5327,PLAT,1,37,531.0
4332,5328,PLAU,0,34,
4335,5331,PLCB3,0,88,
242,302,ANXA2,0,200,
20725,55596,ZCCHC8,0,129,
4344,5340,PLG,0,68,
8442,10456,HAX1,0,131,
2431,2984,GUCY2C,0,28,
4349,5347,PLK1,0,268,
4100,5058,PAK1,0,161,
8450,10464,PIBF1,0,145,
20740,5209,PFKFB3,0,19,
2433,2986,GUCY2F,0,29,
2319,2861,GPR37,0,18,
272,333,APLP1,0,61,
4371,5371,PML,0,237,
18712,26958,COPG2,0,39,
8473,10488,CREB3,0,283,
2330,2873,GPS1,0,68,
286,350,APOH,0,36,
287,351,APP,0,2132,
2338,2885,GRB2,0,1081,
8483,10498,CARM1,0,96,
2340,2887,GRB10,0,62,
293,358,AQP1,0,107,
