,disease_size,fraction_CNS,fraction_DNS,pvalue_frac_CNS,pvalue_frac_DNS
count,2297.0,2297.0,2297.0,2297.0,2297.0
mean,45.18763604701785,0.41831302338275084,0.0722950939662482,0.18979973878972575,0.043604701784936875
std,74.2148981096214,0.14115515868001935,0.06065797234855249,0.23243738420987478,0.1289615334925137
min,2.0,0.12994350282485878,0.0,0.0,0.0
25%,14.0,0.3201970443349754,0.031693989071038264,0.01,0.0
50%,22.0,0.3939393939393939,0.05628415300546452,0.09,0.0
75%,48.0,0.49090909090909096,0.09243697478991597,0.29,0.01
max,1410.0,1.0,0.5359477124183006,1.0,0.98
