,density_CI,density_DN,disease_size,pvalue_CI,pvalue_DN
count,1811.0,1811.0,1811.0,1811.0,1811.0
mean,0.12037977320395378,0.03711417431675637,41.82440640530094,0.6909994478188846,0.1203202650469354
std,0.06723983603010543,0.048174014354502005,69.28992720253851,0.3005594148885507,0.26537434650408687
min,0.0,0.0,2.0,0.0,0.0
25%,0.07458453805741007,0.01282051282051282,14.0,0.48,0.0
50%,0.11188617039736248,0.022222222222222223,21.0,0.79,0.0
75%,0.1557807317873684,0.04395604395604396,43.0,0.95,0.07
max,0.7322212467076383,0.5934065934065934,1410.0,1.0,1.0
< 0.05,,,,0.034787410270568746,0.7233572611816675
