Node ID,Protein ID,Protein Name,Disease Node,Degree
1,2,A2M,0,105
7,12,SERPINA3,0,33
9,14,AAMP,0,31
11,16,AARS,0,55
13,18,ABAT,0,46
20,25,ABL1,0,389
22,27,ABL2,0,52
25,30,ACAA1,0,54
26,31,ACACA,0,84
29,34,ACADM,0,88
30,35,ACADS,0,38
31,36,ACADSB,0,47
32,37,ACADVL,0,32
41,47,ACLY,0,74
42,48,ACO1,1,23
44,50,ACO2,0,36
45,51,ACOX1,0,51
46,52,ACP1,0,48
51,58,ACTA1,0,200
52,59,ACTA2,0,95
53,60,ACTB,1,466
59,70,ACTC1,0,65
60,71,ACTG1,0,187
61,72,ACTG2,0,123
65,81,ACTN4,0,153
66,86,ACTL6A,0,155
67,87,ACTN1,0,164
68,88,ACTN2,0,105
79,100,ADA,0,32
82,103,ADAR,0,75
117,142,PARP1,0,286
129,154,ADRB2,0,276
130,155,ADRB3,0,10
131,156,GRK2,0,101
135,160,AP2A1,0,121
136,161,AP2A2,0,64
137,162,AP1B1,0,93
138,163,AP2B1,0,127
141,166,AES,0,301
147,176,ACAN,0,17
148,177,AGER,0,14
149,178,AGL,0,56
154,185,AGTR1,0,42
155,186,AGTR2,0,12
161,196,AHR,1,49
166,204,AK2,0,51
168,207,AKT1,0,378
169,208,AKT2,0,129
174,213,ALB,0,200
176,215,ABCD1,0,24
177,216,ALDH1A1,0,44
178,217,ALDH2,0,80
179,218,ALDH3A1,0,54
180,219,ALDH1B1,0,83
181,220,ALDH1A3,0,45
182,221,ALDH3B1,0,77
183,222,ALDH3B2,0,48
184,223,ALDH9A1,0,58
185,224,ALDH3A2,0,106
187,226,ALDOA,1,141
190,230,ALDOC,0,94
191,231,AKR1B1,0,63
195,238,ALK,0,98
197,240,ALOX5,1,31
210,259,AMBP,1,20
213,267,AMFR,0,113
220,274,BIN1,0,70
236,291,SLC25A4,0,68
237,292,SLC25A5,0,335
241,301,ANXA1,1,169
242,302,ANXA2,1,200
249,309,ANXA6,0,107
250,310,ANXA7,0,142
251,311,ANXA11,0,52
261,322,APBB1,0,95
263,324,APC,0,301
264,325,APCS,0,20
267,328,APEX1,0,111
268,329,BIRC2,0,142
269,330,BIRC3,0,87
270,331,XIAP,0,164
274,335,APOA1,0,102
277,338,APOB,0,69
284,348,APOE,0,70
287,351,APP,0,2132
288,353,APRT,0,36
289,354,KLK3,0,25
290,355,FAS,0,121
291,356,FASLG,0,108
301,367,AR,0,301
303,369,ARAF,0,104
306,373,TRIM23,0,265
307,374,AREG,0,15
310,378,ARF4,0,48
313,382,ARF6,0,143
316,387,RHOA,1,185
321,392,ARHGAP1,0,48
323,394,ARHGAP5,0,18
325,396,ARHGDIA,0,100
326,397,ARHGDIB,0,20
334,405,ARNT,0,60
335,406,ARNTL,0,38
337,408,ARRB1,0,314
338,409,ARRB2,0,366
355,433,ASGR2,0,95
360,440,ASNS,0,82
364,445,ASS1,0,92
385,467,ATF3,0,63
386,468,ATF4,0,89
388,471,ATIC,0,75
389,472,ATM,0,218
393,476,ATP1A1,0,160
398,481,ATP1B1,0,78
400,483,ATP1B3,0,102
403,488,ATP2A2,0,84
408,493,ATP2B4,0,47
410,495,ATP4A,0,87
413,498,ATP5F1A,0,213
416,501,ALDH7A1,0,75
418,506,ATP5F1B,0,158
421,509,ATP5F1C,0,194
427,515,ATP5PB,0,100
432,522,ATP5PF,0,54
434,22931,RAB18,0,21
435,525,ATP6V1B1,0,97
449,540,ATP7B,0,15
453,545,ATR,0,134
455,547,KIF1A,0,38
462,554,AVPR2,0,18
473,572,BAD,0,70
481,580,BARD1,0,282
482,581,BAX,0,86
486,585,BBS4,0,38
488,587,BCAT2,0,15
495,595,CCND1,0,112
496,596,BCL2,0,136
498,598,BCL2L1,0,112
502,602,BCL3,0,52
503,604,BCL6,0,158
509,613,BCR,0,97
522,632,BGLAP,0,7
523,633,BGN,0,17
524,634,CEACAM1,0,26
530,640,BLK,0,77
531,641,BLM,0,100
534,644,BLVRA,0,22
537,648,BMI1,0,399
540,651,BMP3,0,5
549,660,BMX,0,32
556,667,DST,0,82
561,672,BRCA1,0,609
562,673,BRAF,0,63
563,675,BRCA2,0,90
568,682,BSG,1,154
571,685,BTC,0,12
574,688,KLF5,0,62
575,689,BTF3,0,55
579,695,BTK,0,123
584,701,BUB1B,0,98
590,708,C1QBP,0,235
594,713,C1QB,0,23
601,720,C4A,0,23
637,5481,PPID,0,53
638,768,CA9,0,33
659,790,CAD,0,131
666,21849,,0,23
669,801,CALM1,0,524
672,805,CALM2,0,174
676,811,CALR,1,158
677,813,CALU,1,119
679,815,CAMK2A,0,167
682,818,CAMK2G,0,101
685,821,CANX,0,208
686,822,CAPG,0,22
687,823,CAPN1,0,110
688,824,CAPN2,0,62
690,826,CAPNS1,0,63
693,829,CAPZA1,0,122
694,830,CAPZA2,0,270
696,832,CAPZB,0,128
700,836,CASP3,0,183
703,839,CASP6,0,51
704,840,CASP7,0,86
705,841,CASP8,0,196
706,842,CASP9,0,60
711,847,CAT,1,66
719,857,CAV1,0,220
720,858,CAV2,0,14
722,860,RUNX2,0,63
724,862,RUNX1T1,0,105
729,867,CBL,0,276
730,868,CBLB,0,81
731,103910,MYL12B,0,24
732,871,SERPINH1,0,91
735,875,CBS,0,81
746,890,CCNA2,0,140
747,891,CCNB1,0,161
751,896,CCND3,0,60
760,908,CCT6A,0,190
772,920,CD4,0,125
779,928,CD9,0,39
781,930,CD19,0,28
795,948,CD36,0,20
800,66489,,0,248
805,958,CD40,0,60
807,960,CD44,0,100
808,961,CD47,0,34
810,963,CD53,0,22
812,966,CD59,0,35
813,967,CD63,0,30
819,973,CD79A,0,26
821,975,CD81,0,219
827,983,CDK1,0,415
832,988,CDC5L,0,328
837,993,CDC25A,0,64
839,995,CDC25C,0,44
840,996,CDC27,0,129
841,997,CDC34,0,73
842,998,CDC42,0,305
843,999,CDH1,1,135
844,1000,CDH2,0,78
847,1003,CDH5,0,23
852,1008,CDH10,0,8
861,1017,CDK2,0,892
863,1019,CDK4,0,203
864,1020,CDK5,0,163
865,1021,CDK6,0,160
866,1022,CDK7,0,138
869,1025,CDK9,0,247
870,1026,CDKN1A,0,312
871,1027,CDKN1B,0,106
873,1029,CDKN2A,1,183
875,1031,CDKN2C,0,48
887,1045,CDX2,0,26
891,1050,CEBPA,0,132
892,1051,CEBPB,0,123
893,1052,CEBPD,0,30
894,1053,CEBPE,0,62
911,1072,CFL1,1,166
912,1073,CFL2,0,58
915,1080,CFTR,0,324
931,1104,RCC1,0,108
934,1107,CHD3,0,190
935,1108,CHD4,0,153
937,1111,CHEK1,0,92
942,1116,CHI3L1,1,5
964,1139,CHRNA7,1,6
972,1147,CHUK,0,219
976,1152,CKB,0,83
977,1153,CIRBP,0,199
978,1154,CISH,0,32
985,1163,CKS1B,0,81
986,1164,CKS2,0,27
988,1173,AP2M1,0,229
991,1176,AP3S1,0,45
1004,1191,CLU,0,123
1007,1195,CLK1,0,178
1013,1203,CLN5,0,49
1016,1207,CLNS1A,0,135
1020,1211,CLTA,0,83
1022,1213,CLTC,0,355
1041,132320,SCLT1,0,158
1052,1265,CNN2,0,23
1054,1267,CNP,0,29
1062,1277,COL1A1,0,56
1063,1278,COL1A2,0,37
