,loo_ptest[DP],loo_ptest[DP],loo_ptest[DP],lci_dpp[d=1][DP],lci_dpp[d=1][DP],lci_dpp[d=1][DP],lci_dpp[d=1][DP],lci_dpp[d=8][DP],lci_dpp[d=8][DP],lci_dpp[d=8][DP],lci_dpp[d=8][DP],ci_dpp[DP],ci_dpp[DP],ci_dpp[DP],ci_dpp[DP],rw_dpp[DP],rw_dpp[DP],rw_dpp[DP],rw_dpp[DP],dns_dpp[DP],dns_dpp[DP],dns_dpp[DP],dns_dpp[DP],diamond_dpp[DP],diamond_dpp[DP],diamond_dpp[DP],diamond_dpp[DP],node2vec_dpp[DP],node2vec_dpp[DP],node2vec_dpp[DP],node2vec_dpp[DP],subgraph_metrics[DP],subgraph_metrics[DP],subgraph_metrics[DP]
,disease_size,pvalue_COMP,pvalue_DNS,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Conductance of Disease Nodes,Conductance of Intermediate Nodes,Density of Disease Subgraph
count,2297.0,2297.0,2297.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2297.0,2297.0,2297.0
mean,45.18763604701785,0.07424466695690031,0.6098040922942969,0.18754119470846417,0.09825032734838297,0.8050262990765199,0.03399842904833294,0.20676047627260755,0.10557631694249756,0.8067458586235449,0.03359870117545929,0.17494439110314136,0.09485098841847751,0.7702153727708803,0.0316494276690944,0.14395920807765325,0.06443432675761672,0.7960909752848382,0.01998375055936971,0.08296113467172544,0.026482102018901936,0.6631178767263237,0.005509451264736437,0.08883061312904895,0.05929009790538939,0.5515145996294565,0.02298895487351937,0.086235980211516,0.03873987163884062,0.7020555324715134,0.012663547399255274,0.9700534413610565,0.838591064587384,0.08243569420505335
std,74.2148981096214,0.17809790902510886,0.487225224913087,0.16442573514001035,0.12155339494982761,0.08875771260105317,0.05526451643213396,0.1698429253210979,0.12577830609069351,0.10304359610051372,0.048562740987296175,0.1782118525077367,0.12890377681915405,0.09467643545532962,0.06066432651589192,0.1568191256742559,0.10189094929985051,0.0817182157000872,0.04760934334479782,0.14616751182716825,0.07760610530413184,0.09479507872472613,0.015579186313296363,0.1252283400458046,0.10679335917351081,0.07030917580672752,0.06393124562410663,0.1389518801177392,0.08964096395992151,0.11410918535024414,0.040450216353410784,0.020246187878449447,0.1465785250205656,0.07430090407752166
min,2.0,0.0,0.0,0.0,0.0,0.08752453828621347,4.665424563942582e-05,0.0,0.0,0.10203317337062168,4.8224483746098935e-05,0.0,0.0,0.09365933587739998,4.63994060876e-05,0.0,0.0,0.08037770284094474,8.898225552475744e-05,0.0,0.0,0.0940898849261541,4.639079606606049e-05,0.0,0.0,0.0696157110316735,4.639079606606049e-05,0.0,0.0,0.11349610580082373,7.008023469749785e-05,0.8202247191011236,0.0,0.0
25%,14.0,0.0,0.0,0.07264069264069264,0.011961538461538463,0.7624207882819569,0.005518266277306423,0.09523809523809523,0.021428571428571432,0.7483669030627322,0.0065832682805508245,0.0465874811463,0.0,0.7184866640105,0.0030094478947475,0.042826354679802954,0.0,0.7523985830773581,0.002712512001046549,0.0,0.0,0.5994329951225996,0.0009350037618163776,0.0,0.0,0.5056540427875525,0.00046085315613653567,0.0,0.0,0.6321659511547473,0.0010009396345077037,0.9643542019176536,0.7429769427694192,0.03346938775510204
50%,22.0,0.0,1.0,0.15,0.05303030303030304,0.8131136122287517,0.014070390768751174,0.16527777777777777,0.06578947368421054,0.8261522885978911,0.01687509299817388,0.12,0.05,0.7726462748209999,0.00979274198441,0.1,0.025,0.7938763183571063,0.006591230071435042,0.014285714285714284,0.0,0.663086666356978,0.0018390090526620002,0.05,0.014285714285714284,0.5306583166798344,0.002922434300385783,0.03626373626373626,0.0,0.6987540099493235,0.00252987620672361,0.9749552772808586,0.8908920261233428,0.06159420289855073
75%,48.0,0.03,1.0,0.25,0.15,0.8601905027784426,0.03744811169396564,0.2833333333333333,0.15,0.8770710660986893,0.03858542809447399,0.25,0.133333333333,0.82595987589975,0.0288788744123,0.2,0.1,0.8458258536132418,0.017168013254945904,0.1,0.0,0.7161642195647779,0.004117062978009835,0.10083333333333334,0.06666666666666668,0.5688145525377277,0.016727006785022737,0.1,0.03666666666666667,0.7762586821666826,0.007652380812516063,0.982004343779088,0.9569961116592188,0.10909090909090907
max,1410.0,1.0,1.0,1.0,1.0,0.999818991924255,0.5688806988806989,1.0,1.0,0.9995405179615704,0.5002799570795335,1.0,1.0,0.999895572264,0.708571428571,1.0,0.85,0.9993525480367584,0.6161950043217439,1.0,0.9,0.9993293418732015,0.31668523030514983,1.0,1.0,0.999937343358396,0.9000046414481317,0.95,0.85,0.9992666171555886,0.6190564284200647,1.0,1.0,1.0
