,disease_size,mean_CNS,mean_DNS,zscore_CNS,zscore_DNS
count,2297.0,2297.0,2297.0,2297.0,2297.0
mean,45.18763604701785,0.01613400703652988,0.0002510134331703477,4.250251766906432,1.2738813520821892
std,74.2148981096214,0.009993244885266523,0.0008819343573704553,4.756905342288558,10.968093515138795
min,2.0,0.0008215672793367034,0.0,-1.6607460652948365,-1.1547200366667882
25%,14.0,0.007613258582527033,3.426503768233768e-05,1.4541373626481946,-0.1679768862220736
50%,22.0,0.014729218749528206,8.28021165951925e-05,2.946973468152297,0.23611183352261178
75%,48.0,0.022903857797090615,0.00019192429062134752,5.402436094951067,1.4159297621638047
max,1410.0,0.08218804286686594,0.018196908940184928,57.993864876401126,461.98351143143907
