,disease_size,mean_COMP,mean_DNS,pvalue_COMP,pvalue_DNS
count,2297.0,2297.0,2297.0,2297.0,2297.0
mean,45.18763604701785,0.01613400703652988,0.0024737887885211804,0.07673487157161514,0.11089682194166305
std,74.2148981096214,0.009993244885266523,0.002878189436197249,0.1535933014075699,0.18390005493014455
min,2.0,0.0008215672793367034,0.0,0.0,0.0
25%,14.0,0.007613258582527033,0.0008523686923423509,0.0,0.0
50%,22.0,0.014729218749528206,0.001588998152244316,0.01,0.03
75%,48.0,0.022903857797090615,0.003038411621008212,0.08,0.14
max,1410.0,0.08218804286686594,0.028168511578665574,1.0,0.98
