Node ID,Protein ID,Protein Name,Disease Node,Degree,Comp_rnorm_cnorm
2338,2885,GRB2,0,1081,
3043,3725,JUN,0,408,
2500,3065,HDAC1,0,611,
7397,9241,NOG,1,6,14353.0
5981,7316,UBC,0,1647,
1160,1387,CREBBP,0,400,
2986,3664,IRF6,1,8,12909.0
2059,2534,FYN,0,410,
6898,8642,DCHS1,1,2,14172.0
3310,4038,LRP4,1,9,12967.0
16367,23426,GRIP1,1,61,7480.0
4050,4998,ORC1,1,72,13912.0
20,25,ABL1,0,389,
9341,1954,MEGF8,1,9,5520.0
4734,5818,NECTIN1,1,9,13428.0
2649,3239,HOXD13,1,43,5159.0
1915,2304,FOXE1,0,78,
1885,2263,FGFR2,1,50,7634.0
4116,5077,PAX3,1,34,2333.0
