Node ID,Protein ID,Protein Name,Disease Node,Degree
3918,4830,NME1,1,87
3919,4831,NME2,0,129
3920,4832,NME3,0,29
3921,4833,NME4,0,40
3928,4842,NOS1,1,55
3929,4843,NOS2,0,155
3930,4846,NOS3,1,79
3954,4878,NPPA,1,17
3972,4898,NRDC,0,60
3978,4904,YBX1,0,412
3986,4914,NTRK1,0,1965
4008,4942,OAT,0,54
4081,5034,P4HB,0,148
4083,5036,PA2G4,0,123
4095,5052,PRDX1,0,154
4102,5062,PAK2,0,154
4110,5071,PRKN,0,426
4129,5093,PCBP1,0,192
4140,5105,PCK1,0,98
4144,5110,PCMT1,0,115
4145,5111,PCNA,0,390
4198,5173,PDYN,1,10
4232,5213,PFKM,0,72
4239,5223,PGAM1,0,54
4240,5224,PGAM2,0,26
4245,5230,PGK1,0,102
4256,5245,PHB,0,356
4319,5315,PKM,0,194
4331,5327,PLAT,1,37
4342,5338,PLD2,0,54
4344,5340,PLG,0,68
4465,5501,PPP1CC,0,308
4482,5521,PPP2R2B,0,159
4520,5562,PRKAA1,0,181
4524,5566,PRKACA,0,420
4525,5567,PRKACB,0,217
4526,5568,PRKACG,0,158
4534,5578,PRKCA,0,395
4536,5580,PRKCD,0,234
4540,5584,PRKCI,0,179
4550,5594,MAPK1,0,402
4551,5595,MAPK3,0,349
4554,5598,MAPK7,0,111
4559,5603,MAPK13,0,153
4609,5663,PSEN1,0,137
4624,5684,PSMA3,0,301
4647,5708,PSMD2,0,250
4664,5728,PTEN,0,246
4744,5829,PXN,0,151
4763,5862,RAB2A,0,114
4768,5867,RAB4A,0,51
4780,5879,RAC1,0,269
4786,5885,RAD21,0,268
4794,5893,RAD52,0,58
4801,5901,RAN,0,253
4859,5970,RELA,0,419
4916,6045,RNF2,0,756
4945,6096,RORB,0,21
4956,6117,RPA1,0,494
4957,6118,RPA2,0,471
4958,6119,RPA3,0,399
4959,6120,RPE,0,54
4961,6122,RPL3,0,257
4963,6124,RPL4,0,326
4964,6125,RPL5,0,282
4966,6128,RPL6,0,408
4967,6129,RPL7,0,365
4968,6130,RPL7A,0,334
4969,6132,RPL8,0,348
4970,6133,RPL9,0,257
4971,6134,RPL10,0,448
4972,6135,RPL11,0,384
4973,6136,RPL12,0,285
4974,6137,RPL13,0,358
4975,6138,RPL15,0,255
4976,6139,RPL17,0,234
4977,497661,C18orf32,0,124
4978,6142,RPL18A,0,275
4979,6143,RPL19,0,264
4980,6144,RPL21,0,300
4981,6146,RPL22,0,266
4982,6147,RPL23A,0,307
4985,6152,RPL24,0,333
4986,6154,RPL26,0,306
4987,6155,RPL27,0,231
4988,6156,RPL30,0,238
4989,6157,RPL27A,0,286
4990,6158,RPL28,0,245
4991,6159,RPL29,0,279
4992,6160,RPL31,0,277
4993,6161,RPL32,0,166
4994,6164,RPL34,0,110
4995,6165,RPL35A,0,234
4997,6167,RPL37,0,100
4998,6168,RPL37A,0,241
4999,6169,RPL38,0,239
5000,6170,RPL39,0,131
5001,6171,RPL41,0,89
5002,6173,RPL36A,0,135
5004,6175,RPLP0,0,344
5005,6176,RPLP1,0,253
5010,6181,RPLP2,0,193
5015,6187,RPS2,1,424
5016,6188,RPS3,0,395
5017,6189,RPS3A,0,395
5018,6191,RPS4X,0,360
5019,6192,RPS4Y1,0,89
5020,6193,RPS5,0,282
5021,6194,RPS6,0,353
5026,6199,RPS6KB2,0,207
5027,6201,RPS7,0,358
5028,6202,RPS8,0,448
5029,6203,RPS9,0,368
5030,6204,RPS10,0,225
5031,6205,RPS11,0,255
5032,6206,RPS12,0,219
5033,6207,RPS13,0,350
5034,6208,RPS14,1,263
5035,6209,RPS15,0,183
5036,6210,RPS15A,0,333
5039,6217,RPS16,0,268
5040,6218,RPS17,0,174
5043,6222,RPS18,0,306
5044,6223,RPS19,0,235
5045,6224,RPS20,0,259
5046,6227,RPS21,0,143
5047,6228,RPS23,0,259
5048,6229,RPS24,0,240
5049,6230,RPS25,0,174
5050,6231,RPS26,0,151
5051,6232,RPS27,0,193
5052,6233,RPS27A,0,304
5053,6234,RPS28,0,143
5054,6235,RPS29,0,155
5080,22890,ZBTB1,0,104
5126,6323,SCN1A,0,75
5184,6390,SDHB,0,90
5199,55681,SCYL2,0,130
5204,6418,SET,0,167
5230,6446,SGK1,0,114
5243,203068,TUBB,0,361
5254,6472,SHMT2,0,455
5274,6497,SKI,0,123
5363,6595,SMARCA2,0,147
5369,6602,SMARCD1,0,205
5373,6606,SMN1,0,267
5379,6612,SUMO3,0,185
5389,6622,SNCA,0,390
5391,6624,FSCN1,0,71
5412,6647,SOD1,0,199
5413,6648,SOD2,1,114
5432,6667,SP1,0,441
5469,6714,SRC,0,525
5481,6727,SRP14,0,177
5501,6749,SSRP1,0,284
5529,6780,STAU1,0,324
5539,6790,AURKA,0,297
5589,6853,SYN1,0,66
5630,6897,TARS,0,148
5678,6949,TCOF1,0,166
5679,6950,TCP1,0,289
5712,7001,PRDX2,0,118
5723,7013,TERF1,0,323
5742,7035,TFPI,1,22
5759,7052,TGM2,0,119
5788,7083,TK1,0,182
5791,7086,TKT,1,154
5836,7133,TNFRSF1B,0,127
5850,7150,TOP1,0,279
5855,7157,TP53,0,1001
5858,7161,TP73,0,138
5864,7167,TPI1,0,92
5885,7189,TRAF6,0,552
5900,7216,TRO,0,18
5948,7276,TTR,0,60
5953,7283,TUBG1,0,255
5954,7284,TUFM,0,243
5974,7307,U2AF1,0,348
5978,7311,UBA52,0,293
5981,7316,UBC,0,1647
6065,7412,VCAM1,0,446
6067,7414,VCL,0,182
6068,7415,VCP,0,610
6069,7416,VDAC1,0,227
6070,7417,VDAC2,0,191
6071,7419,VDAC3,0,166
6078,7428,VHL,0,466
6080,7430,EZR,0,176
6081,7431,VIM,0,391
6147,7514,XPO1,0,1256
6162,7531,YWHAE,0,426
6163,7532,YWHAG,0,542
6164,7533,YWHAH,0,343
6165,7534,YWHAZ,0,662
6211,7593,MZF1,0,18
6225,6732,SRPK1,0,349
6359,7846,TUBA1A,0,399
6399,7915,ALDH5A1,0,55
6471,728937,RPS26P25,0,201
6481,8061,FOSL1,0,50
6484,8065,CUL5,0,482
6599,8266,UBL4A,0,306
6658,8342,HIST1H2BM,0,121
6660,8344,HIST1H2BE,0,100
6665,8349,HIST2H2BE,0,207
6708,8407,TAGLN2,0,128
6737,8450,CUL4B,0,382
6738,8451,CUL4A,0,383
6739,8452,CUL3,0,1228
6740,8453,CUL2,0,507
6741,8454,CUL1,0,763
6760,8480,RAE1,0,130
6792,8517,IKBKG,0,465
6810,8536,CAMK1,0,44
6818,8544,PIR,0,52
6828,8554,PIAS1,0,191
6867,8607,RUVBL1,0,279
6910,8655,DYNLL1,0,294
6914,8659,ALDH4A1,0,59
6917,8662,EIF3B,0,140
6918,8663,EIF3C,0,142
6919,8664,EIF3D,0,142
6923,8668,EIF3I,0,164
6977,8726,EED,0,483
7010,8767,RIPK2,0,92
7041,8801,SUCLG2,0,60
7042,8802,SUCLG1,0,35
7084,8850,KAT2B,0,206
7114,8883,NAE1,0,110
7170,140032,RPS4Y2,0,80
7178,8971,H1FX,0,146
7185,50649,ARHGEF4,0,82
7224,9040,UBE2M,0,136
7227,9045,RPL14,0,370
7243,9063,PIAS2,0,204
7286,9114,ATP6V0D1,0,86
7301,9129,PRPF3,0,281
7353,9188,DDX21,0,228
7379,9218,VAPA,0,224
7382,9221,NOLC1,0,199
7480,9349,RPL23,0,396
7616,9513,FXR2,0,239
7635,9533,POLR1C,0,261
7678,9584,RBM39,0,259
7721,9636,ISG15,0,194
7726,9641,IKBKE,0,392
7741,9657,IQCB1,0,213
7808,140801,RPL10L,0,82
7851,9775,EIF4A3,0,451
7893,9820,CUL7,0,649
7986,9924,PAN2,0,343
8006,9948,WDR1,0,99
8028,9971,NR1H4,0,30
8063,10011,SRA1,0,49
8065,10014,HDAC5,0,370
